text_input,output
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""State/territory"": ['Australian Capital Territory', 'New South Wales', 'New South Wales', 'Northern Territory', 'Queensland', 'South Australia', 'Victoria']
""Text/background colour"": ['blue/white', 'black/yellow', 'black/white', 'ochre/white', 'maroon/white', 'black/white', 'blue/white']
""Format"": ['Yaa·nna', 'aa·nn·aa', 'aaa·nna', 'Ca·nn·aa', 'nnn·aaa', 'Snnn·aaa', 'aaa·nnn']
""Current slogan"": ['ACT · CELEBRATION OF A CENTURY 2013', 'NEW SOUTH WALES', 'NSW', 'NT · OUTBACK AUSTRALIA', 'QUEENSLAND · SUNSHINE STATE', 'SOUTH AUSTRALIA', 'VICTORIA - THE PLACE TO BE']
""Current series"": ['YIL·00A', 'BX·99·HI', 'CPX·12A', 'CB·06·ZZ', '999·TLG', 'S000·AZD', 'ZZZ·562']
""Notes"": ['Slogan screenprinted on plate', 'No slogan on current series', 'Optional white slimline series', 'New series began in June 2011', 'Slogan embossed on plate', 'No slogan on current series', 'Current series will be exhausted this year']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Tell me what the notes are for South Australia 
    SQL: ","SELECT ""Notes"" FROM ""table"" WHERE ""Current slogan"" ILIKE 'SOUTH AUSTRALIA'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""State/territory"": ['Australian Capital Territory', 'New South Wales', 'New South Wales', 'Northern Territory', 'Queensland', 'South Australia', 'Victoria']
""Text/background colour"": ['blue/white', 'black/yellow', 'black/white', 'ochre/white', 'maroon/white', 'black/white', 'blue/white']
""Format"": ['Yaa·nna', 'aa·nn·aa', 'aaa·nna', 'Ca·nn·aa', 'nnn·aaa', 'Snnn·aaa', 'aaa·nnn']
""Current slogan"": ['ACT · CELEBRATION OF A CENTURY 2013', 'NEW SOUTH WALES', 'NSW', 'NT · OUTBACK AUSTRALIA', 'QUEENSLAND · SUNSHINE STATE', 'SOUTH AUSTRALIA', 'VICTORIA - THE PLACE TO BE']
""Current series"": ['YIL·00A', 'BX·99·HI', 'CPX·12A', 'CB·06·ZZ', '999·TLG', 'S000·AZD', 'ZZZ·562']
""Notes"": ['Slogan screenprinted on plate', 'No slogan on current series', 'Optional white slimline series', 'New series began in June 2011', 'Slogan embossed on plate', 'No slogan on current series', 'Current series will be exhausted this year']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What is the current series where the new series began in June 2011?
    SQL: ","SELECT ""Current series"" FROM ""table"" WHERE ""Notes"" ILIKE 'New series began in June 2011'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""State/territory"": ['Australian Capital Territory', 'New South Wales', 'New South Wales', 'Northern Territory', 'Queensland', 'South Australia', 'Victoria']
""Text/background colour"": ['blue/white', 'black/yellow', 'black/white', 'ochre/white', 'maroon/white', 'black/white', 'blue/white']
""Format"": ['Yaa·nna', 'aa·nn·aa', 'aaa·nna', 'Ca·nn·aa', 'nnn·aaa', 'Snnn·aaa', 'aaa·nnn']
""Current slogan"": ['ACT · CELEBRATION OF A CENTURY 2013', 'NEW SOUTH WALES', 'NSW', 'NT · OUTBACK AUSTRALIA', 'QUEENSLAND · SUNSHINE STATE', 'SOUTH AUSTRALIA', 'VICTORIA - THE PLACE TO BE']
""Current series"": ['YIL·00A', 'BX·99·HI', 'CPX·12A', 'CB·06·ZZ', '999·TLG', 'S000·AZD', 'ZZZ·562']
""Notes"": ['Slogan screenprinted on plate', 'No slogan on current series', 'Optional white slimline series', 'New series began in June 2011', 'Slogan embossed on plate', 'No slogan on current series', 'Current series will be exhausted this year']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: What is the format for South Australia?
    SQL: ","SELECT ""Format"" FROM ""table"" WHERE ""State/territory"" ILIKE 'South Australia'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""State/territory"": ['Australian Capital Territory', 'New South Wales', 'New South Wales', 'Northern Territory', 'Queensland', 'South Australia', 'Victoria']
""Text/background colour"": ['blue/white', 'black/yellow', 'black/white', 'ochre/white', 'maroon/white', 'black/white', 'blue/white']
""Format"": ['Yaa·nna', 'aa·nn·aa', 'aaa·nna', 'Ca·nn·aa', 'nnn·aaa', 'Snnn·aaa', 'aaa·nnn']
""Current slogan"": ['ACT · CELEBRATION OF A CENTURY 2013', 'NEW SOUTH WALES', 'NSW', 'NT · OUTBACK AUSTRALIA', 'QUEENSLAND · SUNSHINE STATE', 'SOUTH AUSTRALIA', 'VICTORIA - THE PLACE TO BE']
""Current series"": ['YIL·00A', 'BX·99·HI', 'CPX·12A', 'CB·06·ZZ', '999·TLG', 'S000·AZD', 'ZZZ·562']
""Notes"": ['Slogan screenprinted on plate', 'No slogan on current series', 'Optional white slimline series', 'New series began in June 2011', 'Slogan embossed on plate', 'No slogan on current series', 'Current series will be exhausted this year']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: Name the background colour for the Australian Capital Territory
    SQL: ","SELECT ""Text/background colour"" FROM ""table"" WHERE ""State/territory"" ILIKE 'Australian Capital Territory'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: how many times is the fuel propulsion is cng?
    SQL: ","SELECT COUNT(""Fleet Series (Quantity)"") FROM ""table"" WHERE ""Fuel Propulsion"" ILIKE 'CNG'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: what is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?
    SQL: ","SELECT ""Fuel Propulsion"" FROM ""table"" WHERE ""Fleet Series (Quantity)"" ILIKE '310-329 (20)'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: who is the manufacturer for the order year 1998?
    SQL: ","SELECT ""Manufacturer"" FROM ""table"" WHERE ""Order Year"" ILIKE '1998'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: how many times is the model ge40lfr?
    SQL: ","SELECT COUNT(""Manufacturer"") FROM ""table"" WHERE ""Model"" ILIKE 'GE40LFR'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: how many times is the fleet series (quantity) is 468-473 (6)?
    SQL: ","SELECT COUNT(""Order Year"") FROM ""table"" WHERE ""Fleet Series (Quantity)"" ILIKE '468-473 (6)'"
"
    You are an expert at generating SQL. Respond with just SQL.

    Print a SQL query (over a table named ""table"" quoted with double quotes) that answers the question below.

    You have the following columns:
    ""Order Year"": ['1992-93', '1996', '1998', '2000', '2002', '2010', '2011']
""Manufacturer"": ['Gillig', 'Gillig', 'Gillig', 'Gillig', 'Gillig', 'NFI', 'NFI']
""Model"": ['Phantom (High Floor)', 'Phantom (High Floor)', 'Phantom (High Floor)', 'Advantage (Low Floor)', 'Advantage (Low Floor)', 'GE40LFR', 'C40LFR']
""Fleet Series (Quantity)"": ['444-464 (21)', '465-467 (3)', '468-473 (6)', '474-481 (8)', '482-492 (11)', '300-309 (10)', '310-329 (20)']
""Powertrain (Engine/Transmission)"": ['DD S50EGR Allison WB-400R', 'DD S50 Allison WB-400R', 'DD S50 Allison WB-400R', 'Cummins ISC Allison WB-400R', 'Cummins ISL Allison WB-400R', 'Ford Triton V10 ISE-Thundervolt TB40-HG', 'Cummins Westport ISL-G Allison WB-400R']
""Fuel Propulsion"": ['Diesel', 'Diesel', 'Diesel', 'Diesel', 'Diesel', 'Hybrid', 'CNG']

    The format should be
    Question: the question to ask
    SQL: the SQL to generate

    Question: what is the powertrain (engine/transmission) when the order year is 2000?
    SQL: ","SELECT ""Powertrain (Engine/Transmission)"" FROM ""table"" WHERE ""Order Year"" ILIKE '2000'"
